TIME,USER_1_NUMBER_OF_TRX,USER_1_AMOUNT,USER_2_NUMBER_OF_TRX,USER_2_AMOUNT,USER_3_NUMBER_OF_TRX,USER_3_AMOUNT,USER_4_NUMBER_OF_TRX,USER_4_AMOUNT,USER_5_NUMBER_OF_TRX,USER_5_AMOUNT,MERCHANT_1_NUMBER_OF_TRX,MERCHANT_1_AMOUNT,MERCHANT_2_NUMBER_OF_TRX,MERCHANT_2_AMOUNT,MERCHANT_3_NUMBER_OF_TRX,MERCHANT_3_AMOUNT,MERCHANT_4_NUMBER_OF_TRX,MERCHANT_4_AMOUNT,MERCHANT_5_NUMBER_OF_TRX,MERCHANT_5_AMOUNT
2021-05-05 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12400.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 01:00:00,2.0,42987.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5608506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,6017800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 03:00:00,0.0,0.0,1.0,54175.21,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5074676.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,4531338.0,1.0,128273.4,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,4655170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4851778.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7038848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,13733539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6210270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2329411.0,1.0,9700.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,4709395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,6096273.0,1.0,8800.0,0.0,0.0,0.0,0.0,0.0,0.0
